Source,Target,Type,Id,Label,Weight
1,15,Directed,1,P2,1.0
5,24,Directed,6,P78,1.0
5,31,Directed,7,P78,1.0
9,12,Directed,8,P2,1.0
10,5,Directed,9,P4,1.0
10,21,Directed,10,P42,1.0
12,6,Directed,18,-P71,1.0
15,7,Directed,21,-P71,1.0
16,17,Directed,25,P2,1.0
17,33,Directed,26,-P71,1.0
21,22,Directed,30,-P71,1.0
23,670,Directed,548,P2,1.0
25,46,Directed,81,P2,1.0
27,16,Directed,39,P1,1.0
27,29,Directed,41,P3,1.0
27,30,Directed,42,P10,1.0
27,35,Directed,45,BM.PX.is_related_to,1.0
27,36,Directed,46,P2,1.0
27,39,Directed,47,P7,1.0
27,671,Directed,550,-P92,1.0
27,676,Directed,556,-P93,1.0
29,62,Directed,276,P2,1.0
30,10,Directed,52,-P41,1.0
34,4,Directed,60,P3,1.0
35,1,Directed,61,P1,1.0
36,41,Directed,63,-P71,1.0
39,9,Directed,65,P87,1.0
39,23,Directed,66,P87,1.0
39,25,Directed,79,P45,1.0
39,34,Directed,67,P87,1.0
46,47,Directed,82,-P71,1.0
62,63,Directed,277,-P71,1.0
670,668,Directed,549,-P71,1.0
671,672,Directed,551,P2,1.0
671,674,Directed,561,P4,1.0
672,673,Directed,554,-P71,1.0
674,675,Directed,562,P78,1.0
676,677,Directed,557,P2,1.0
676,679,Directed,558,P4,1.0
677,678,Directed,559,-P71,1.0
679,680,Directed,560,P78,1.0
