Source,Target,Type,Id,Label,Weight
4,37,Directed,1,P1,1.0
6,13,Directed,2,P87,1.0
6,79,Directed,79,P87,1.0
8,15,Directed,4,P4,1.0
8,77,Directed,75,P2,1.0
10,4,Directed,6,BM.PX.is_related_to,1.0
10,6,Directed,7,P53,1.0
10,8,Directed,8,-P92,1.0
10,18,Directed,10,P3,1.0
10,26,Directed,13,-P93,1.0
10,57,Directed,15,P10,1.0
10,71,Directed,71,P2,1.0
10,81,Directed,81,P1,1.0
13,73,Directed,73,P2,1.0
15,38,Directed,28,P78,1.0
18,66,Directed,65,P2,1.0
20,31,Directed,69,P2,1.0
26,29,Directed,37,P4,1.0
26,75,Directed,77,P2,1.0
27,41,Directed,38,-P71,1.0
29,21,Directed,39,P78,1.0
31,2,Directed,40,-P71,1.0
37,27,Directed,45,P2,1.0
57,58,Directed,57,-P41,1.0
58,59,Directed,58,-P41,1.0
58,61,Directed,59,P4,1.0
58,64,Directed,60,P42,1.0
59,60,Directed,61,-P71,1.0
61,62,Directed,62,P78,1.0
61,63,Directed,63,P78,1.0
64,65,Directed,64,-P71,1.0
66,67,Directed,66,-P71,1.0
71,72,Directed,72,-P71,1.0
73,74,Directed,74,-P71,1.0
75,76,Directed,78,-P71,1.0
77,78,Directed,76,-P71,1.0
79,80,Directed,80,P3,1.0
81,3,Directed,83,P131,1.0
81,20,Directed,82,P131,1.0
