Source,Target,Type,Id,Label,Weight
2,15,Directed,5,-P71,1.0
7,18,Directed,19,-P71,1.0
8,7,Directed,20,P2,1.0
9,2,Directed,28,P2,1.0
11,1,Directed,35,P3,1.0
11,8,Directed,36,P1,1.0
11,16,Directed,40,P2,1.0
11,17,Directed,41,BM.PX.is_related_to,1.0
11,23,Directed,50,P3,1.0
11,34,Directed,47,P67,1.0
11,37,Directed,273,-P108,1.0
11,46,Directed,196,P104,1.0
11,51,Directed,250,P2,1.0
11,517,Directed,514,-P128,1.0
11,571,Directed,623,P1,1.0
11,792,Directed,737,-P138,1.0
11,801,Directed,746,P67,1.0
11,804,Directed,749,-P94,1.0
12,22,Directed,52,P42,1.0
16,19,Directed,59,-P71,1.0
17,9,Directed,62,P1,1.0
22,5,Directed,84,-P71,1.0
23,799,Directed,744,P2,1.0
27,29,Directed,103,P131,1.0
30,35,Directed,12,-P71,1.0
31,30,Directed,54,P2,1.0
32,33,Directed,98,P3,1.0
34,31,Directed,74,P87,1.0
34,32,Directed,97,P89,1.0
37,38,Directed,274,P4,1.0
37,44,Directed,280,P11,1.0
38,39,Directed,275,P78,1.0
40,41,Directed,277,-P71,1.0
42,43,Directed,279,P131,1.0
44,45,Directed,281,P131,1.0
46,47,Directed,197,P2,1.0
47,48,Directed,198,-P71,1.0
49,50,Directed,200,-P71,1.0
51,52,Directed,251,-P71,1.0
517,49,Directed,622,P2,1.0
571,40,Directed,624,P2,1.0
799,800,Directed,745,-P71,1.0
801,802,Directed,747,P4,1.0
804,12,Directed,750,-P41,1.0
804,27,Directed,755,P14,1.0
804,42,Directed,756,P11,1.0
804,805,Directed,751,P4,1.0
804,807,Directed,753,-P134,1.0
805,806,Directed,752,P78,1.0
807,808,Directed,754,P78,1.0
